                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2245,                 6.9091,                0.22611,                0.88051,                 1.1437,                0.81301,                0.69076,                0.79333,                0.50759,                 0.5445,                0.23288,                0.18825,                0.05705,                 1.1797,                 6.5438,                0.02446,                0.76463,                 1.0835,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.2475,                 7.0386,                0.22838,                0.90451,                 1.1509,                  0.808,                 0.6854,                0.78404,                0.49797,                0.49923,                0.22793,                0.16762,                0.04977,                 1.1964,                 6.6255,                0.02805,                0.78815,                 1.0907,              0.0066548,              0.0066548,              0.0066548
                      3,                  1.295,                 7.3039,                0.24186,                0.96384,                 1.1732,                0.80265,                0.66087,                0.76602,                0.47798,                0.49394,                0.21164,                0.15674,                0.04484,                 1.2349,                 6.7979,                0.04164,                0.83816,                  1.113,              0.0099662,              0.0099662,              0.0099662
                      4,                 1.3525,                 7.5921,                0.25228,                   1.03,                  1.199,                0.79303,                0.65987,                0.75796,                0.47045,                0.47112,                0.21221,                0.14968,                0.04204,                 1.2448,                 6.8838,                0.04207,                0.84443,                 1.1171,              0.0099505,              0.0099505,              0.0099505
                      5,                 1.3528,                 7.6042,                  0.253,                 1.0305,                 1.2004,                0.80292,                0.65587,                 0.7611,                0.47459,                0.48232,                0.21164,                0.15379,                0.04407,                 1.2345,                  6.831,                0.03969,                0.84126,                 1.1165,               0.009934,               0.009934,               0.009934
                      6,                 1.3521,                 7.6052,                  0.253,                  1.033,                 1.2034,                0.79966,                0.66153,                0.76671,                0.48153,                0.50314,                0.21993,                0.16886,                0.04957,                 1.2189,                 6.7832,                0.04213,                0.82503,                 1.1111,              0.0099175,              0.0099175,              0.0099175
                      7,                 1.3529,                 7.5879,                0.25258,                 1.0312,                 1.2023,                0.79804,                0.67311,                0.77208,                0.48747,                0.51309,                0.22312,                0.16994,                0.05034,                 1.2053,                 6.7114,                0.04073,                0.81406,                 1.1033,               0.009901,               0.009901,               0.009901
                      8,                 1.3508,                 7.5892,                0.25151,                 1.0284,                 1.2006,                0.80794,                0.67378,                0.77659,                0.49196,                0.53819,                0.22533,                0.17999,                0.05391,                 1.2015,                 6.6825,                0.03963,                0.80531,                  1.099,              0.0098845,              0.0098845,              0.0098845
                      9,                 1.3471,                 7.5577,                0.25035,                 1.0221,                 1.1986,                0.80368,                 0.6808,                0.78065,                0.49328,                0.53259,                0.22878,                0.18401,                0.05572,                 1.1982,                 6.6402,                0.03888,                0.79546,                 1.1023,               0.009868,               0.009868,               0.009868
                     10,                 1.3446,                 7.5633,                0.25155,                  1.022,                  1.198,                0.80903,                0.68475,                0.78354,                0.49658,                0.53276,                0.23447,                0.18734,                0.05692,                  1.194,                 6.6045,                0.03759,                0.78534,                 1.0986,              0.0098515,              0.0098515,              0.0098515
                     11,                  1.345,                 7.5474,                0.25042,                 1.0216,                 1.1977,                0.81089,                0.68367,                0.78608,                0.49869,                0.52835,                 0.2358,                0.18738,                0.05749,                  1.189,                 6.5897,                0.03704,                0.78565,                 1.0949,               0.009835,               0.009835,               0.009835
                     12,                 1.3435,                 7.5366,                0.24935,                  1.017,                 1.1971,                0.81658,                0.68568,                 0.7864,                0.50008,                0.53447,                0.23488,                0.18577,                0.05772,                 1.1821,                 6.5675,                 0.0377,                0.77919,                  1.093,              0.0098185,              0.0098185,              0.0098185
                     13,                 1.3436,                 7.5286,                 0.2487,                 1.0172,                 1.1958,                0.81062,                0.69073,                0.78814,                0.50184,                0.53893,                 0.2345,                0.18634,                0.05802,                 1.1799,                 6.5491,                 0.0378,                 0.7763,                 1.0929,               0.009802,               0.009802,               0.009802
                     14,                 1.3389,                 7.5123,                 0.2502,                 1.0156,                 1.1963,                 0.8087,                 0.6893,                0.78742,                0.50298,                0.53589,                0.23583,                 0.1882,                0.05856,                 1.1772,                 6.5332,                0.03766,                0.77352,                 1.0917,              0.0097855,              0.0097855,              0.0097855
                     15,                 1.3417,                 7.5274,                0.24889,                 1.0179,                 1.1963,                 0.8113,                0.69111,                0.78917,                0.50418,                0.54129,                0.23831,                0.19094,                0.05923,                 1.1759,                 6.5203,                0.03718,                0.76976,                 1.0911,               0.009769,               0.009769,               0.009769
                     16,                   1.34,                 7.5301,                0.24848,                  1.018,                 1.1959,                0.80657,                0.69492,                0.79016,                0.50523,                 0.5418,                0.23843,                0.19182,                0.05953,                  1.176,                 6.5135,                0.03692,                0.76923,                 1.0907,              0.0097525,              0.0097525,              0.0097525
                     17,                 1.3405,                 7.5298,                0.24841,                 1.0144,                 1.1959,                0.80955,                 0.6911,                0.79063,                0.50598,                0.53858,                0.23917,                0.19162,                0.06012,                 1.1742,                  6.505,                0.03701,                0.76825,                 1.0906,               0.009736,               0.009736,               0.009736
                     18,                 1.3352,                 7.5039,                0.24785,                   1.01,                 1.1949,                0.80774,                0.69159,                0.79065,                0.50665,                 0.5446,                0.24117,                0.19412,                0.06051,                 1.1733,                 6.4986,                0.03711,                0.76676,                 1.0902,              0.0097195,              0.0097195,              0.0097195
                     19,                 1.3378,                 7.4955,                 0.2476,                 1.0121,                 1.1948,                0.80722,                0.69316,                0.79138,                0.50701,                0.54983,                0.24088,                 0.1953,                0.06109,                 1.1734,                 6.4941,                0.03723,                0.76597,                   1.09,               0.009703,               0.009703,               0.009703
                     20,                  1.336,                  7.509,                0.24924,                 1.0114,                 1.1942,                 0.8107,                0.69216,                0.79062,                0.50725,                0.54853,                0.24078,                0.19478,                0.06123,                 1.1733,                 6.4895,                0.03724,                0.76548,                   1.09,              0.0096865,              0.0096865,              0.0096865
                     21,                 1.3355,                 7.4923,                0.24796,                 1.0101,                 1.1954,                0.80687,                 0.6933,                0.79117,                0.50739,                0.55242,                0.24275,                0.19593,                0.06174,                 1.1725,                 6.4848,                 0.0373,                0.76502,                 1.0897,                0.00967,                0.00967,                0.00967
                     22,                  1.337,                 7.4927,                0.24705,                 1.0072,                 1.1937,                0.80874,                0.69569,                0.79197,                0.50765,                0.55466,                0.24107,                0.19522,                 0.0617,                 1.1724,                 6.4799,                0.03731,                0.76419,                 1.0895,              0.0096535,              0.0096535,              0.0096535
                     23,                 1.3337,                 7.4974,                0.24748,                  1.013,                 1.1951,                0.80998,                0.69588,                0.79231,                0.50773,                0.54952,                0.24237,                0.19659,                 0.0617,                 1.1713,                 6.4785,                 0.0373,                0.76395,                 1.0891,               0.009637,               0.009637,               0.009637
